PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
839,Promo - All Access - 6mo - 84.00,14.0,Discount,All Access,Semi Annual,Promo - All Access - 6mo - 84.00,N,01/10/19 00:00,12/12/99 00:00
840,NavTraffic - 36mo w/5mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
841,Promo - Traffic - 6mo w/1mo Free (6for25/35) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
842,Travel-Link - 6mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
843,Introductory - All Access Family Friendly - 12mo w/2mo Savings,20.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,01/12/17 00:00,12/12/99 00:00
844,Voyager + All Access - 1mo - wActv,19.990000000000002,Full Price,All Access,Monthly,All Access Monthly,N,01/01/14 00:00,04/01/15 00:00
845,Traffic - 3mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
846,Courtesy - All Access - 24mo - 2017,20.990000000000002,Full Price,All Access,Two Year,All Access 2 Year,Y,01/12/17 00:00,12/12/99 00:00
847,Promo - All Access - 12mo - 119.88 (9.99/mo) - 1X,9.99,Discount,All Access,Annual,All Access Discount Annual,Y,05/01/15 00:00,30/06/15 00:00
848,Promo - Premier - 5mo - 29.99 (1X),6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
849,Select - 1mo - wActv|Veteran 25% Off,11.99,Full Price,Select,Monthly,Select Monthly - 25% Off,N,31/07/19 00:00,12/12/99 00:00
850,Promo - Traffic - 5mo - (Half-off),6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
851,Annual Service - 3 Yr Term Billed Every 3 Years,14.99,Full Price,Select,Two Year,Other,Y,01/01/14 00:00,04/01/15 00:00
852,Travel-Link + Traffic - 3mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
853,Promo - Select - Annual - (35% off for 12 mos),9.743500000000001,Discount,Select,Annual,Select Discount Annual,Y,01/07/18 00:00,12/12/99 00:00
854,All Access Family Friendly - 12mo - wActv,18.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,01/01/14 00:00,04/01/15 00:00
855,Promo - Select Family Friendly - 6mo w/3mo Free - (Half-Off),6.995,Discount,Select,Semi Annual,Select Semi,N,01/01/14 00:00,04/01/15 00:00
856,Select - 1mo - wActv|Promo $7 Off for 12mos,8.99,Discount,Select,Monthly,Select Discount Monthly ($7 Off for 12mos),N,01/01/19 00:00,12/12/99 00:00
857,Introductory - Select Family Friendly - 12mo w/1mo Savings - wActv,13.49,Full Price,Select,Annual,Other,Y,01/01/14 00:00,04/01/15 00:00
858,Sponsored - OEM Trial - Select - 12mo - 116.55,0.0,Full Price,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
859,Promo - Select Family Friendly - 12mo w/3mo Free (3FOR1) - 1X,10.4925,Discount,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
860,Mostly Music - 36mo,10.99,Full Price,Mostly Music,Three Year,Mostly Music Three Year,Y,01/01/14 00:00,04/01/15 00:00
861,Promo - All Access - 12mo - Select Price,14.99,Full Price,All Access,Annual,All Access Annual,Y,01/01/14 00:00,04/01/15 00:00
862,Fleet - All Access - 1mo - wActv,18.990000000000002,Full Price,All Access,Monthly,All Access Monthly,TBD,01/01/14 00:00,04/01/15 00:00
863,Mostly Music - 1mo - wActv|Veteran 25% Off,8.24,Full Price,Mostly Music,Monthly,Mostly Music Discount Monthly,N,31/07/19 00:00,12/12/99 00:00
