channel_record_key,partnername,parentpartnername,corp_id,categorydesc,districtdesc,partner_group,partner_in_conv_rate,change_date_start,change_date_end,current_record_flag,deleted_record_flag
71,Custom Vehicles of Zanesville,Custom Vehicles of Zanesville,8697,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
72,Trucks Plus, Inc,Trucks Plus, Inc,8819,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99
73,Sound Trax,Sound Trax,1794,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
74,St Bernard Auto Sound,St Bernard Auto Sound,1914,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
75,Laurent Cafe,Laurent Cafe,12591,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
76,Prospects - XM,Prospects - XM,12291,DTC Channel,District 1001,DTC Channel,Y,1/1/00,12/31/99,Y,N
77,Solar Vision,Solar Vision,2320,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
78,Sirius Canada Sales & Retail,Sirius Canada Sales & Retail,11889,Retail Channel,Can 50 Retail,Retail Channel,Y,1/1/00,12/31/99,Y,N
79,Pana Pacific Fleet,Pana Pacific Fleet,196,Special Markets Channel,SM33,Special Markets Channel,Y,1/1/00,12/31/99,Y,N
80,Sky Link Communication,Sky Link Communication,4388,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
81,CSO Radio,CSO Radio,8249,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
82,WilcoHess,WilcoHess,12465,Retail Channel,District 7,Retail Channel,Y,1/1/00,12/31/99,Y,N
83,Sound Connection (CA),Sound Connection (CA),2473,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
84,CPS Distributors Inc.,CPS Distributors Inc.,11542,Special Markets Channel,Special Mkts  31,Special Markets Channel,N,1/1/00,12/31/99,Y,N
85,M And B Electronics,M And B Electronics,8054,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
86,Audio Plus,Audio Plus,4624,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
87,Southern Sound Inc,Southern Sound Inc,951,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
88,Soundcrafters Inc,Soundcrafters Inc,1570,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
89,Buzzards Wireless And Satellite,Buzzards Wireless And Satellite,11990,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
90,DBL Distributing,DBL Distributing,12011,Retail Channel,District 11,Retail Channel,Y,1/1/00,12/31/99,Y,N
91,Sutcliffe Audio,Sutcliffe Audio,3266,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
92,JAM Auto,JAM Auto,10238,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
93,JVC ,JVC,10335,Retail Channel,District 16,Retail Channel,Y,1/1/00,12/31/99,Y,N
94,Sounds Unlimited Inc,Sounds Unlimited Inc,1004,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
95,k i p Communications,k i p Communications,4893,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
96,Sl Electronics,Sl Electronics,3884,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
97,Arkancell/KPIK Comn Inc.,Arkancell/KPIK Comn Inc.,8386,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
98,Overbeck Electronics,Overbeck Electronics,1286,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
99,Finish Line,Finish Line,8575,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
100,Q The Audio & Video Store,Q The Audio & Video Store,2002,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
101,Kens Music Box Inc,Kens Music Box Inc,1986,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
102,ELK GROVE DODGE,ELK GROVE DODGE,11012,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
103,Auto Security Plus,Auto Security Plus,10644,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
104,Custom Car Audio & Electronics,Custom Car Audio & Electronics,10724,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
105,Duncan Enterprizes,Duncan Enterprizes,10707,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
106,Century Home & Audio Solutions,Century Home & Audio Solutions,10457,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
107,Buy N Sell City,Buy N Sell City,10850,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
108,Lazy Eyes Productions - XM,Lazy Eyes Productions - XM,12253,DTC Channel,District 1001,DTC Channel,Y,1/1/00,12/31/99,Y,N
